,source,author,title,description,url,urlToImage,publishedAt,content
39,"{'id': 'business-insider', 'name': 'Business Insider'}",gkay@insider.com (Grace Kay),YouTube removes video of Tesla fans using kids to test whether the carmaker's Full Self-Driving software stops for children,"After a video of a Tesla crashing into a child-sized dummy went viral, several drivers have tested how FSD reacts to kids.",https://www.businessinsider.com/tesla-fans-full-self-driving-test-on-kids-removed-youtube-2022-8,https://i.insider.com/630383dcc9a2da001809031b?width=1200&format=jpeg,2022-08-22T15:40:56Z,"YouTube removed a video that showed Tesla fans testing out with real children whether the carmaker's Full Self-Driving (FSD) software would stop for kids.
The video was posted by Whole Mars Blog's o… [+3447 chars]"
40,"{'id': None, 'name': 'Génération NT'}",Jérôme G.,Un propriétaire de Tesla met ses enfants en obstacle à éviter,YouTube a supprimé une vidéo où le propriétaire d'un véhicule Tesla utilise ses propres enfants pour prouver l'efficacité du Full Self Driving de la marque.,https://www.generation-nt.com/tesla-video-fsd-conduite-autonome-enfant-obstacle-actualite-2004231.html,https://img.generation-nt.com/telsa-fsd-enfant-dans-rue_0780043801683593.webp,2022-08-22T15:40:01Z,La plateforme de vidéos en ligne YouTube a supprimé une vidéo montrant le conducteur d'une voiture Tesla Model 3 en train d'effectuer des tests de sécurité. En plus de mannequins pour des obstacles à… [+3227 chars]
41,"{'id': None, 'name': 'COMPUTER BILD'}",Dennis Ellenberger,Lucid Air Sapphire: Elektro-Flitzer bricht alle Rekorde,Tesla muss sich warm anziehen. Autobauer Lucid Motors legt mit seinem neuesten Elektroauto Spitzenzeiten beim Sprint von null auf 100 km/h hin. Dabei handelt es sich nicht um ein reguläres Modell.,https://www.computerbild.de/artikel/cb-News-Connected-Car-Lucid-Air-Sapphire-Leistungsstarkes-Elektroauto-bricht-alle-Rekorde-33372525.html,https://i.computer-bild.de/imgs/1/4/5/0/7/1/3/3/Lucid-Air-8acc4c6b52999b56.jpg,2022-08-22T15:40:00Z,"Tesla muss sich warm anziehen. Autobauer Lucid Motors legt mit seinem neuesten Elektroauto Spitzenzeiten beim Sprint von null auf 100 km/h hin. Dabei handelt es sich nicht um ein reguläres Modell.
I… [+1662 chars]"
42,"{'id': 'fortune', 'name': 'Fortune'}",Tristan Bove,Apple employees claim they’re doing ‘exceptional work’ remotely as Tim Cook orders them back. They’re probably wrong,"The tech giant's staff say they are doing ""exceptional work"" from home, despite potential remote work pitfalls.",https://fortune.com/2022/08/22/apple-employees-say-they-are-doing-exceptional-work-remotely/,"https://content.fortune.com/wp-content/uploads/2022/08/GettyImages-1401383119.jpg?resize=1200,600",2022-08-22T15:37:27Z,"The return-to-office wars continue to rage, with Apple wanting its employees back in the office and workers arent having it.Apple has become one of the most vocal firms in corporate Americas quest to… [+3490 chars]"
43,"{'id': None, 'name': 'Developpez.com'}",,Les conducteurs humains au Royaume-Uni ne seront pas responsables des accidents lorsque la conduite autonome est activée,"Les fabricants exploitant des v�hicules autonomes au Royaume-Uni seront responsables des actions d'un v�hicule lorsqu'il est en mode autonome, selon la nouvelle feuille de route du pays pour parvenir � un d�ploiement g�n�ralis� des v�hicules autonomes d'ici 2…",https://www.developpez.com/actu/335890/Les-conducteurs-humains-au-Royaume-Uni-ne-seront-pas-responsables-des-accidents-lorsque-la-conduite-autonome-est-activee/,https://www.developpez.com/images/logos/voiture-autonome.png,2022-08-22T15:36:00Z,"Les fabricants exploitant des vhicules autonomes au Royaume-Uni seront responsables des actions d'un vhicule lorsqu'il est en mode autonome, selon la nouvelle feuille de route du pays pour parvenir u… [+11984 chars]"
44,"{'id': None, 'name': 'NDTV News'}",,"Ford To Cut 3,000 Jobs As It Turns To A Software Future","Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to develop software-driven electric vehicles.",https://www.ndtv.com/business/ford-cuts-3-000-jobs-as-it-pivots-to-a-software-future-3276674,https://c.ndtvimg.com/2022-08/5uuslcdo_reuters-image_625x300_22_August_22.jpg,2022-08-22T15:34:59Z,"Ford cuts 3,000 jobs as it pivots to a software future
Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up w… [+1575 chars]"
45,"{'id': None, 'name': 'ZDNet France'}",Liam Tung,Apple : Les nouveaux Macs et iPad M2 pourraient débarquer en octobre,Les lancements de matériel Apple de cette année penchent en faveur de la nouvelle approche d'Apple en matière de travail hybride.,https://www.zdnet.fr/actualites/apple-les-nouveaux-macs-et-ipad-m2-pourraient-debarquer-en-octobre-39946114.htm,https://d1fmx1rbmqrxrr.cloudfront.net/zdnet/optim/i/edit/ne/2021/03/AppleDawn__w1200.jpg,2022-08-22T15:30:00Z,"Après le lancement de l'iPhone 14, Apple pourrait lancer un nouvel iPad Pro basé sur le M2 ainsi que des versions M2 des Mac mini, Mac Pro et MacBook Pro lors d'un événement en octobre, selon Mark Gu… [+2265 chars]"
46,"{'id': None, 'name': 'Techinsider.ru'}",Роман Назаров,Исследование: 30% водителей не могут перехватить управление от автопилота вовремя,"Полуавтономные автомобили, такие как Tesla с опцией FSD, в целом более безопасны, чем ручное вождение. Однако есть критический момент, когда опасность ДТП резко возрастает. Дело в том, как взаимодействуют автопилот и водитель.",https://www.techinsider.ru/vehicles/1552183-issledovanie-30-voditeley-ne-mogut-perehvatit-upravlenie-ot-avtopilota-vovremya/,https://images.techinsider.ru/upload/img_cache/376/37635f806290028bb9b5d7e8c9245be0_ce_1920x1278x0x2_cropped_1200x628.jpg,2022-08-22T15:29:00Z,",   , , , .  1980-   (ADAS, . Advanced Driver Assistance System),   .   -,    ,  .        .
, , Tesla Full Self-Driving.   ,    .   , ,  .  ,      - ,        ."
47,"{'id': None, 'name': 'CNA'}",,"Ford cuts 3,000 jobs as it pivots to EVs, software",":Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to develop software-driven electric vehicles.Ford Chief Executive Jim Farley has been say…",https://www.channelnewsasia.com/business/ford-cuts-3000-jobs-it-pivots-evs-software-2893506,"https://onecms-res.cloudinary.com/image/upload/s--R254S6iZ--/fl_relative,g_south_east,l_one-cms:core:watermark:reuters,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2022-08-22t154237z_4_lynxmpei7l0lj_rtroptp_3_china-autos-ford-motor.jpg?itok=4Awo31Y0",2022-08-22T15:25:27Z,":Ford Motor Co said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to develop software-driven el… [+1439 chars]"
48,"{'id': 'reuters', 'name': 'Reuters'}",,Ford cuts 3000 jobs as it pivots to a software future - Reuters,"Ford Motor Co<a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc <TSLA.O> in the race to devel…",https://www.reuters.com/business/autos-transportation/ford-cuts-3000-jobs-it-pivots-software-future-2022-08-22/,https://www.reuters.com/resizer/Ir4PWhSPih0WloduNTshRxUbcCc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/BM6I27W7ZFPEPENWTRO2E7QIUE.jpg,2022-08-22T15:25:00Z,"Aug 22 (Reuters) - Ford Motor Co(F.N) said it will cut a total of 3,000 salaried and contract jobs, mostly in North America and India, as it restructures to catch up with Tesla Inc in the race to dev… [+676 chars]"
49,"{'id': None, 'name': 'Daily Mail'}",Sam Tonkin,What will self-driving cars will be able to do in the UK and who will be responsible for accidents?,"Only features such as lane-keeping technology would be legal in the UK next year, with fully autonomous self-driving cars - where motorists can watch TV behind the wheel - not allowed until 2025.",https://www.dailymail.co.uk/sciencetech/article-11134093/What-self-driving-cars-able-UK-responsible-accidents.html,https://i.dailymail.co.uk/1s/2022/08/22/13/61605335-0-image-a-5_1661170468701.jpg,2022-08-22T15:23:34Z,"Self-driving vehicles could soon be whizzing around on Britain's roads, after the Government announced plans to allow cars, coaches and lorries with self-driving features to be used on motorways in 2… [+15457 chars]"
50,"{'id': None, 'name': 'Anadolu Agency'}",,Siçuan'da kuraklık nedeniyle fabrikalardaki elektrik kesintileri devam ediyor,"Çin'in batısındaki Siçuan eyaletinde, kuraklık yüzünden hidroelektrik santrallerinin yeterli elektrik sağlayamaması nedeniyle yaşanan elektrik sıkıntısı sürüyor.

 - Anadolu Ajansı",https://www.aa.com.tr/tr/dunya/sicuanda-kuraklik-nedeniyle-fabrikalardaki-elektrik-kesintileri-devam-ediyor/2666874,https://cdnuploads.aa.com.tr/uploads/Contents/2022/08/22/thumbs_b_c_27b82aaeac9263d19c6981493f0881ed.jpg?v=181913,2022-08-22T15:18:24Z,"Ulusal basndaki haberlerde, eyalet yönetimi ve elektrik idaresinin geçen hafta banda fabrikalara uygulad elektrik kesintilerinin, skntnn alamamas nedeniyle 5 gün daha uzatlaca bildirildi.
Enerji iht… [+1788 chars]"
51,"{'id': None, 'name': '24/7 Wall St.'}",John Harrington,The Most Popular Ford Models in America,"Ford’s sales fell 6.8% to 1.9 million cars last year, third place among all automakers, as Toyota unseated General Motors for first place, ending a 90-year run for GM. (Unfortunately for Ford, it topped the list of the car brands with the worst recalls this y…",https://247wallst.com/special-report/2022/08/22/top-selling-fords-2/,https://247wallst.com/wp-content/uploads/2022/07/imageForEntry8-URt.jpg,2022-08-22T15:15:34Z,"Fords sales fell 6.8% to 1.9 million cars last year, third place among all automakers, as Toyota unseated General Motors for first place, ending a 90-year run for GM. (Unfortunately for Ford, it topp… [+1692 chars]"
52,"{'id': None, 'name': 'Reviewgeek.com'}",Cory Gunther,Tesla's Full Self-Driving Software Now Costs as Much as a Decent Car,"Tesla’s “Full Self-Driving,” which cost $10k earlier this year but quickly went up to $12,000, is about to be even more expensive. Starting on September 5th, Tesla’s FSD upgrade will now be $15,000, or about as much as a decent used car.",https://www.reviewgeek.com/126549/teslas-full-self-driving-software-now-costs-as-much-as-a-decent-car/,https://www.reviewgeek.com/p/uploads/2022/03/dcb1d83c.jpg,2022-08-22T15:12:54Z,"Tesla
Tesla’s “Full Self-Driving,” which cost $10k earlier this year but quickly went up to $12,000, is about to be even more expensive. Starting on September 5th, Tesla’s FSD upgrade will now be $1… [+1983 chars]"
53,"{'id': None, 'name': 'International Business Times'}",Daniel Wiessner,Tesla Loses Challenge To California Agency Suing For Race Bias,A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an assembly plant is rushing to sue businesses without conducting full investigations.,https://www.ibtimes.com/tesla-loses-challenge-california-agency-suing-race-bias-3604464,https://d.ibtimes.com/en/full/3806850/employee-tesla-incs-us-vehicle-factory-seen-security-gate-fremont-california.jpg,2022-08-22T15:12:05Z,"An employee of a Tesla Inc's U.S. vehicle factory is seen at a security gate in Fremont, California, U.S., March 18, 2020. 
A California administrative agency has declined to review Tesla Inc's clai… [+2197 chars]"
54,"{'id': None, 'name': 'Daily Mail'}","Jennifer Smith, Emma James",Seattle CEO Dan Price's ex-wife says he strangled and punched her,"Seattle CEO Dan Price's ex-wife today accused him of punching and strangling her during their seven-year marriage, days after he was accused of rape by a model.",https://www.dailymail.co.uk/news/article-11134365/Seattle-CEO-Dan-Prices-ex-wife-says-strangled-punched-her.html,https://i.dailymail.co.uk/1s/2022/08/22/15/61609987-0-image-a-7_1661179805825.jpg,2022-08-22T15:08:15Z,"Seattle CEO Dan Price's ex-wife today accused him of punching and strangling her during their seven-year marriage, days after he was accused of rape by a model. 
Price was once hailed as the most lo… [+4233 chars]"
55,"{'id': None, 'name': 'Forbes'}","Derek Saul, Forbes Staff, 
 Derek Saul, Forbes Staff
 https://www.forbes.com/sites/dereksaul/",Return To Office: Here’s Where Tech Giants Stand After Apple Employees Protest Mandate,"Apple will require employees to work from its Silicon Valley office three days a week starting in September, joining Tesla and several other industry leaders in mandating in-person work.",https://www.forbes.com/sites/dereksaul/2022/08/22/return-to-office-heres-where-tech-giants-stand-after-apple-employees-protest-mandate/,"https://imageio.forbes.com/specials-images/imageserve/63039aa15f34b3cdbe12b49e/0x0.jpg?format=jpg&crop=2675,1506,x0,y183,safe&width=1200",2022-08-22T15:04:49Z,"Apple employees initiated a petition early Monday opposing the companys forthcoming policy requiring corporate workers to be in the office three days a week, joining several other major technology co… [+2067 chars]"
56,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Evan Halper,Big hurdles on the road to moving millions of U.S. drivers into EVs,Persuading a reluctant Congress to spend big on EVs may have been the easy part. Now millions of Americans need to be enticed to buy them.,https://www.washingtonpost.com/business/2022/08/22/ev-transition-biden-climate/,https://www.washingtonpost.com/resizer/2CjPNwqvXHPS_2RpuRTKY-p3eVo=/1484x0/www.washingtonpost.com/pb/resources/img/twp-social-share.png,2022-08-22T15:04:45Z,"Comment on this story
As the White House relishes its victory after swaying a reluctant Congress to spend big on electric vehicles, it now confronts a much heavier lift: nudging tens of millions of … [+10709 chars]"
57,"{'id': None, 'name': ""Tom's Guide""}",David Douïeb,"Pour ouvrir sa Tesla, il se fait insérer une puce sous la peau (vidéo)","Propriétaire d'une Tesla, Brandon Dalalay s'est fait implanter une puce sur la main. Celle-ci est notamment capable de déverrouiller son véhicule.",https://www.tomsguide.fr/pour-ouvrir-sa-tesla-il-se-fait-inserer-une-puce-sous-la-peau-video/,https://www.tomsguide.fr/content/uploads/sites/2/2022/08/copie-de-image-23.jpg,2022-08-22T15:04:21Z,"Propriétaire d’une Tesla, Brandon Dalalay s’est fait implanter une puce sur la main. Celle-ci est notamment capable de déverrouiller son véhicule. Le perçage et la mise en application – Crédit : Twit… [+1983 chars]"
58,"{'id': None, 'name': 'Terra.com.br'}",Reuters,Wall Street cai mais de 1% com medo de Fed agressivo,"Os principais índices de Wall Street caíam mais de 1% nesta segunda-feira em um início de semana sombrio, com investidores preocupados com sinais agressivos...","https://www.terra.com.br/economia/wall-street-cai-mais-de-1-com-medo-de-fed-agressivo,27576f8621696c98968e0eb68c5b3bf075lsdna9.html",https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png,2022-08-22T15:03:27Z,"Os principais índices de Wall Street caíam mais de 1% nesta segunda-feira em um início de semana sombrio, com investidores preocupados com sinais agressivos dos formuladores de política monetária do … [+2174 chars]"
59,"{'id': None, 'name': 'Terra.com.br'}",Estadão Conteúdo,Google está treinando seus robôs para serem mais parecidos com humanos,Pesquisadores no laboratório do Google pediram recentemente a um robô para montar um hambúrguer ...,"https://www.terra.com.br/byte/google-esta-treinando-seus-robos-para-serem-mais-parecidos-com-humanos,77688898af78bd9f3b1d8e79bfdb6f7c10ihkw4t.html",https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png,2022-08-22T15:03:16Z,"Pesquisadores no laboratório do Google pediram recentemente a um robô para montar um hambúrguer com vários ingredientes de brinquedo de plástico.
O braço mecânico sabia bem que devia adicionar o ket… [+7040 chars]"
60,"{'id': None, 'name': 'Tomshw.it'}",Francesco Daghini,La Tesla Model 3 si apre con un chip impiantato nella mano,Un chip NFC sotto pelle per aprire la Tesla Model 3: lo ha fatto Brandon Dalaly e lo ha mostrato su Twitter.,https://www.tomshw.it/automotive/la-tesla-model-3-si-apre-con-un-chip-impiantato-nella-mano/,https://www.tomshw.it/images/images/2021/11/tesla-model-3-long-range-my2021-198435.jpg,2022-08-22T15:00:52Z,"Auto La Tesla Model 3 si apre con un chip impiantato nella mano
Tom's Hardware vive grazie al suo pubblico. Quando compri qualcosa dai nostri link, potremmo guadagnare una commissione. Scopri di più… [+2252 chars]"
61,"{'id': None, 'name': 'Screen Rant'}",Michael Akuchie,Does The Tesla Model 3 Qualify For A Federal Tax Credit?,"The Tesla Model 3 is among the best-selling EVs in the world, but does it qualify for a federal tax credit under the Inflation Reduction Act?",https://screenrant.com/tesla-model-3-federal-tax-credit-eligibility/,https://static1.srcdn.com/wordpress/wp-content/uploads/2022/08/Tesla-Model-3-1.jpg,2022-08-22T15:00:11Z,"The Tesla Model 3 is one of the world's best-selling electric vehicles, but does it qualify for a federal tax credit? The Model 3 expertly blends performance with affordability, with range and Autopi… [+2958 chars]"
62,"{'id': None, 'name': 'CNBC'}",Robert Ferris,Why some people hate touch screens in cars,"Buttons, switches and knobs have given way to high-tech touch screens in cars. Some people find them annoying and dangerous. But they aren't going anywhere",https://www.cnbc.com/2022/08/22/why-some-people-hate-touch-screens-in-cars.html,https://image.cnbcfm.com/api/v1/image/106590346-1593004482197gettyimages-609781370.jpeg?v=1593004529&w=1920&h=1080,2022-08-22T15:00:01Z,"Car and truck dashboards used to be filled with buttons, switches and knobs controls someone could operate without looking at them.
But touch screens have all but totally taken over the vehicle mark… [+898 chars]"
63,"{'id': None, 'name': 'Motor Authority'}","news@motorauthority.com (Joel Feder), Joel Feder","Pebble Beach Best of Show, Bugatti Mistral, Koenigsegg CC850: Today's Car News","A 1932 Duesenberg won Best of Show at the 2022 Pebble Beach Concours d'Elegance. The award hasn't been given to an American car since 2013, and it went to a Mercedes-Benz in 2021. The Duesenberg is owned by Lee and Penny Anderson of Naples, Florida. Concours …",https://www.motorauthority.com/news/1136898_pebble-beach-best-of-show-bugatti-mistral-koenigsegg-cc850-today-s-car-news,https://images.hgmsites.net/hug/koenigsegg-cc850_100852259_h.jpg,2022-08-22T15:00:00Z,"A 1932 Duesenberg won Best of Show at the 2022 Pebble Beach Concours d'Elegance. The award hasn't been given to an American car since 2013, and it went to a Mercedes-Benz in 2021. The Duesenberg is o… [+1520 chars]"
64,"{'id': None, 'name': 'Yahoo Entertainment'}",BlueWeave Consulting and Research Pvt Ltd,Electric Vehicle (EV) Charging Station Market to Grow at a CAGR of Over 40% until 2028 | BlueWeave Consulting,"Geographically, the global electric vehicle (EV) charging station market is segmented into North America, Europe, Asia-Pacific, Latin America, Middle East & ...",https://finance.yahoo.com/news/electric-vehicle-ev-charging-station-150000197.html,https://s.yimg.com/ny/api/res/1.2/GKdQE9xkDXrIPPFFqdcXTw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD00NDA-/https://media.zenfs.com/en/globenewswire.com/f81c56cf08a3e21d98979379dca642d9,2022-08-22T15:00:00Z,"BlueWeave Consulting and Research Pvt Ltd
Geographically, the global electric vehicle (EV) charging station market is segmented into North America, Europe, Asia-Pacific, Latin America, Middle East &… [+10859 chars]"
65,"{'id': None, 'name': 'PCWorld'}",Mark Hachman,Intel’s Lunar Lake will be a specialized low-power PC chip,"Intel executives disclosed that 2024’s Lunar Lake chip will be optimized for ultraportables for 15 watts and below, while reiterating that 2023’s Meteor Lake chip is still on track. And if you haven’t guessed it already, the future of Intel’s processors conti…",https://www.pcworld.com/article/834401/intels-lunar-lake-will-be-a-specialized-low-power-pc-chip.html,https://www.pcworld.com/wp-content/uploads/2022/08/intel_meteor_lake.jpg?quality=50&strip=all&w=1024,2022-08-22T15:00:00Z,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Intel executives dis… [+3580 chars]"
66,"{'id': None, 'name': 'Hwupgrade.it'}",,I Tesla Supercharger dominano le classifiche di soddisfazione. Gli altri operatori ora si devono preoccupare,"Le soluzioni di ricarica Tesla sono in testa ai sondaggi di J.D. Power, e presto la rete privata di Elon Musk verrà aperta globalmente a tutte le auto elettriche",https://auto.hwupgrade.it/news/soluzioni-ricarica/i-tesla-supercharger-dominano-le-classifiche-di-soddisfazione-gli-altri-operatori-ora-si-devono-preoccupare_109500.html,https://www.hwupgrade.it/i/n/tesla-supercharger-italia-hwup_720.jpg,2022-08-22T14:58:43Z,"La rete di ricarica Tesla, le cui stazioni sono chiamate ""Supercharger"", resta ancora probabilmente la più estesa al mondo, e fino a poco tempo fa aveva il limite di servire solo le auto prodotte dal… [+1798 chars]"
67,"{'id': None, 'name': 'Siècle Digital'}",Maxime Mohr,Elon Musk chercherait à investir dans un concurrent de Neuralink,"La startup Neuralink de Elon Musk prend du retard face à la concurrence, ce qui pousserait le chef d'entreprises à revoir sa stratégie.",https://siecledigital.fr/2022/08/22/elon-musk-chercherait-a-investir-dans-un-concurrent-de-neuralink/,https://siecledigital.fr/wp-content/uploads/2022/08/neuralink-levee-de-fonds-serie-c-une.jpeg,2022-08-22T14:57:36Z,"Contrairement à Neuralink, Synchron a déjà effectué des essais dimplants cérébraux sur des humains.
Neuralink, la startup d’Elon Musk lancée en 2016, a pris du retard sur la concurrence. Synchron, q… [+2772 chars]"
68,"{'id': None, 'name': 'Seeking Alpha'}",SA Transcripts,Altium Limited (ALMFF) CEO Aram Mirkazemi on Q4 2022 Results - Earnings Call Transcript,"Altium Limited (OTCPK:ALMFF) Q4 2022 Earnings Conference Call August 22, 2022 3:00 AM ETCompany ParticipantsKim Besharati - VP Investor Relations & Chief of StaffAram Mirkazemi -...",https://seekingalpha.com/article/4536153-altium-limited-almff-ceo-aram-mirkazemi-on-q4-2022-results-earnings-call-transcript,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,2022-08-22T14:56:05Z,"Altium Limited (OTCPK:ALMFF) Q4 2022 Earnings Conference Call August 22, 2022 3:00 AM ET
 Company Participants
 Kim Besharati - VP Investor Relations &amp; Chief of Staff
 Aram Mirkazemi - CEO
 S… [+53583 chars]"
69,"{'id': None, 'name': 'Horizont.net'}",HORIZONT Online / dpa,Studie: Diese Marken haben in Sachen vernetztes Auto die Nase vorn,"© IMAGO / STPP
 Volkswagen ist nach einer Studie des Branchenexperten Stefan Bratzel weiterhin der innovationsstärkste Konzern im Bereich vernetztes Auto, vor Mercedes-Benz und Tesla. BMW sei ins Mittelfeld zurückgefallen. Als sehr schwach bei der Vernetzung…",https://www.horizont.net/marketing/nachrichten/studie-diese-marken-haben-in-sachen-vernetztes-auto-die-nase-vorn-202129?utm_source=rss&utm_medium=referral&utm_campaign=news,https://www.horizont.net/news/media/39/VW-382571.jpeg,2022-08-22T14:56:00Z,"""Das Zukunftsversprechen dieser daten- und softwaregetriebenen Dienste ist eine besonders gute Rendite"", sagte Bratzel. Dazu ""müssen die Automobilhersteller jedoch ihre Kompetenzen in diesen Zukunfts… [+1324 chars]"
70,"{'id': None, 'name': 'Sostav.ru'}",,15 ������������� �������� PR-�������� ��������� ���,"������ PR-���������� �����, ��� ������ ��������� ��������, ������� ���������� �� ����� ��������������� ����. �� ������ ���������� ������� �����������, ����� ��������� ��������� ����. ������ ��� ��� 15 PR-�������� ��������� ��� , ������� ������� �������� �����…",https://www.sostav.ru/blogs/255039/34626,https://www.sostav.ru/appi/blogs/feedSocialImage/get?feedId=34626,2022-08-22T14:55:40Z,"PR- , , 
 . 
, .  15 PR- ,  .
1. Spotify: Wrapped ( )
 2016 Spotify 
 Wrapped: 
 . , , 
, , , 
 . , 
 . .
 , . ,
 .
Introducing the Freshly-Baked Fragrance of #Bready
Subway
 « !». 
 ,… [+1603 chars]"
71,"{'id': None, 'name': 'Electrek'}",Fred Lambert,Tesla says Autopilot is preventing ~40 crashes per day from wrong pedal errors alone,"Tesla claims Autopilot is currently preventing about 40 crashes per day just by correcting drivers pressing the wrong pedal, something that has led Tesla to be accused of sudden acceleration in the past. Over the years, Tesla vehicles have often been accused …",https://electrek.co/2022/08/22/tesla-autopilot-prevent-40-crashes-per-day-wrong-pedal-errors/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2020/01/Tesla-sudden-unintended-acceleration.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2022-08-22T14:54:31Z,"Tesla claims Autopilot is currently preventing about 40 crashes per day just by correcting drivers pressing the wrong pedal, something that has led Tesla to be accused of sudden acceleration in the p… [+3763 chars]"
72,"{'id': 'la-nacion', 'name': 'La Nacion'}",,Wall street se desploma más de un 1% por miedo a una fed agresiva,Wall street se desploma más de un 1% por miedo a una fed agresiva,https://www.lanacion.com.ar/agencias/wall-street-se-desploma-mas-de-un-1-por-miedo-a-una-fed-agresiva-nid22082022/,https://resizer.glanacion.com/resizer/3RtWgCP--RAvm_gVQCN60D8EDIs=/768x0/filters:format(webp):quality(80)/cloudfront-us-east-1.images.arcpublishing.com/lanacionar/67GCK7VVHRH5JDZJTNRRSP7NEI.jpg,2022-08-22T14:53:33Z,"Por Bansari Mayur Kamdar y Devik Jain
22 ago (Reuters) - Los principales índices de Wall Street
caían más de un 1% el lunes, en un comienzo de semana
desalentador, ya que los inversores están preo… [+1601 chars]"
73,"{'id': None, 'name': 'FX Empire'}",Reuters,Tesla loses challenge to California agency suing for race bias,By Daniel Wiessner (Reuters) -   A California administrative agency has declined to review Tesla Inc&#039;s claim that the state&#039;s civil rights watchdog suing the company for race bias at an assembly plant is rushing to sue businesses without conducting …,https://www.fxempire.com/news/article/tesla-loses-challenge-to-california-agency-suing-for-race-bias-1103214,https://responsive.fxempire.com/width/600/webp-lossy-70.q50/_fxempire_/2022/08/tagreuters.com2022newsml_LYNXMPEI7L0K11.jpg,2022-08-22T14:53:14Z,"Californias Office of Administrative Law in a letter denied Teslas petition, filed in June, to determine whether the Department of Civil Rights (DCR) had adopted underground regulations that flout re… [+1854 chars]"
74,"{'id': None, 'name': 'CNA'}",,Tesla loses challenge to California agency suing for race bias,A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an assembly plant is rushing to sue businesses without conducting full investigations.California's Office of …,https://www.channelnewsasia.com/business/tesla-loses-challenge-california-agency-suing-race-bias-2893431,"https://onecms-res.cloudinary.com/image/upload/s--iZy1nNyj--/fl_relative,g_south_east,l_one-cms:core:watermark:reuters,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2022-08-22t145309z_3_lynxmpei7l0k1_rtroptp_3_health-coronavirus-tesla-factory.jpg?itok=pETBhrUN",2022-08-22T14:53:09Z,A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an assembly plant is rushing to sue businesses wi… [+2020 chars]
75,"{'id': None, 'name': 'Yahoo Entertainment'}",Daniel Wiessner,Tesla loses challenge to California agency suing for race bias,A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an...,https://finance.yahoo.com/news/tesla-loses-challenge-california-agency-144928467.html,https://s.yimg.com/uu/api/res/1.2/rpQxq0VAPmlNuhFfm5OQGw--~B/aD01MzM7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/61095b6b42d4738c30621c42a9663799,2022-08-22T14:49:28Z,"By Daniel Wiessner
(Reuters) - A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an assembly plant… [+2128 chars]"
76,"{'id': None, 'name': 'Yahoo Entertainment'}",Daniel Wiessner,Tesla loses challenge to California agency suing for race bias,A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an...,https://news.yahoo.com/tesla-loses-challenge-california-agency-144928798.html,https://s.yimg.com/uu/api/res/1.2/wE53UTLJju8wlH0x5xfgow--~B/aD01MzM7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters.com/b4dfed9ffa4996045dc18eface38b080,2022-08-22T14:49:28Z,"By Daniel Wiessner
(Reuters) - A California administrative agency has declined to review Tesla Inc's claim that the state's civil rights watchdog suing the company for race bias at an assembly plant… [+2128 chars]"
